,Unnamed: 0,No.,Comment,Label
259,259,260,giàu vãi cả lồn,1
1070,1070,1071,g,0
1531,1531,1532,rikaki hq buồn,0
1971,1971,1972,"hq thế_giới non lắm, sự_thật đi cháu, vô_địch quần què nè.",0
2210,2210,2211,khoa quánh veres t sợ,0
2836,2836,2837,10k gánh phai thực_lực,0
4004,4004,4005,ngài đút_lót bnh tiền trốn nghĩa vụ quân sự v anh em,2
7271,7271,7272,coi đoạn gank,0
3852,3852,3853,massage awesome,0
4290,4290,4291,samurao,0
3490,3490,3491,farewell suyễn baguette,0
3859,3859,3860,ulti nhảy chết awesome,0
5741,5741,5742,đánh admin counter mấy sát_thủ di_chuyển team tối_ưu,0
976,976,977,quảng_cáo giải anh_em vui vẻ xíu,0
6819,6819,6820,"im ta, mấy thằng đần_độn spoil",2
3405,3405,3406,đi nhậu,0
4457,4457,4458,team toàn 458 bây,0
527,527,528,! matchday,0
3754,3754,3755,3 liền,0
2503,2503,2504,tâm h,0
6626,6626,6627,thằng cụ mày đi,2
5101,5101,5102,sp admin ngu lồn,2
464,464,465,fnatoác =)))),0
6040,6040,6041,sp giết giết 1 chó dại,2
1811,1811,1812,"flash ngan, sách bút học_hỏi",2
4407,4407,4408,swap lane,0
6184,6184,6185,evi đánh cảm_xúc,0
1390,1390,1391,bí_mật mọi người,0
6035,6035,6036,múa múa,0
5716,5716,5717,,0
1494,1494,1495,cánh đổi quà,0
608,608,609,@ đức hoàng nip liên_minh lun hã =))) tui kbt ta,0
813,813,814,throw ult,0
2325,2325,2326,hoài_zậy,0
6799,6799,6800,tởm,0
2501,2501,2502,tara đi,0
7114,7114,7115,đánh,0
4048,4048,4049,ngài tăng_tốc 3 anh_em ghét awesome,0
6237,6237,6238,lính,0
3686,3686,3687,jbo in 2023 awesome,0
1419,1419,1420,bloy,0
7878,7878,7879,đọc sách,0
4031,4031,4032,ngại nhắm,0
7959,7959,7960,ham tục uống,0
3604,3604,3605,hẳn no rp,0
888,888,889,ác,0
518,518,519,"nói_gì_thì t lồn việt nam esports việt nam cố lắm, khu_vực kém mấy",0
2705,2705,2706,vgame ming vô_địch,0
2529,2529,2530,"thả đại dame to, t học thả bừa",0
6171,6171,6172,phế vật,1
